KMS|Prempeh I International Airport|6.7146|-1.5908
NYI|Sunyani Airport|7.3618|-2.3288
TKD|Takoradi Airport|4.8961|-1.7748
ABJ|Félix-Houphouët-Boigny International Airport|5.2614|-3.9263
BYK|Bouaké Airport|7.7388|-5.0737
DJO|Daloa Airport|6.7928|-6.4732
HGO|Korhogo Airport|9.3872|-5.5567
MJC|Man Airport|7.2721|-7.5874
SPY|San Pedro Airport|4.7467|-6.6608
ASK|Yamoussoukro International Airport|6.9032|-5.3656
DKA|Umaru Musa Yar'adua Airport|13.0078|7.6604
ABV|Nnamdi Azikiwe International Airport|9.0068|7.2632
QUO|Akwa Ibom International Airport|4.8725|8.093
AKR|Akure Airport|7.2467|5.301
ABB|Asaba International Airport|6.2042|6.6653
BCU|Sir Abubakar Tafawa Balewa Bauchi State International Airport|10.4828|9.744
BNI|Benin Airport|6.317|5.5995
DNBY|Bayelsa International Airport|4.9576|6.2033
CBQ|Margaret Ekpo International Airport|4.976|8.3472
ENU|Akanu Ibiam International Airport|6.4737|7.5605
GMO|Gombe Lawanti International Airport|10.2989|10.9
DNGU|Gusau Airport|12.1729|6.6961
IBA|Ibadan Airport|7.3625|3.9783
ILR|General Tunde Idiagbon International Airport|8.4402|4.4939
QOW|Sam Mbakwe International Cargo Airport|5.4271|7.206
JOS|Yakubu Gowon Airport|9.6398|8.8691
KAD|Kaduna International Airport|10.696|7.3201
KAN|Mallam Aminu Kano International Airport|12.0456|8.5236
MIU|Maiduguri International Airport|11.8542|13.0807
MDI|Makurdi Airport|7.7039|8.6139
LOS|Murtala Muhammed International Airport|6.5774|3.3212
MXJ|Minna Airport|9.6522|6.4623
PHC|Port Harcourt International Airport|5.0155|6.9496
SKO|Sadiq Abubakar III International Airport|12.9157|5.2075
QRW|Warri Airport|5.5982|5.8187
YOL|Yola Airport|9.2576|12.4304
ZAR|Zaria Airport|11.1302|7.6858
MFQ|Maradi Airport|13.5025|7.1268
NIM|Diori Hamani International Airport|13.4815|2.1836
THZ|Tahoua Airport|14.8757|5.2654
AJY|Mano Dayak International Airport|16.966|8.0001
ZND|Zinder Airport|13.779|8.9838
